date,product,region,units_sold,unit_price,discount,gross_revenue,discount_amount,revenue,month
2026-01-05,Laptop,North,2,900,0.05,1800,90.0,1710.0,2026-01
2026-01-08,Headphones,South,5,120,0.1,600,60.0,540.0,2026-01
2026-01-12,Keyboard,East,4,80,0.0,320,0.0,320.0,2026-01
2026-01-15,Mouse,West,7,45,0.05,315,15.75,299.25,2026-01
2026-01-20,Laptop,South,1,900,0.0,900,0.0,900.0,2026-01
2026-01-25,Headphones,North,6,120,0.05,720,36.0,684.0,2026-01
2026-02-02,Keyboard,West,5,80,0.1,400,40.0,360.0,2026-02
2026-02-07,Mouse,East,10,45,0.0,450,0.0,450.0,2026-02
2026-02-11,Laptop,North,3,900,0.1,2700,270.0,2430.0,2026-02
2026-02-16,Headphones,West,4,120,0.0,480,0.0,480.0,2026-02
2026-02-22,Keyboard,South,6,80,0.05,480,24.0,456.0,2026-02
2026-02-27,Mouse,North,8,45,0.1,360,36.0,324.0,2026-02
2026-03-03,Laptop,East,2,900,0.0,1800,0.0,1800.0,2026-03
2026-03-08,Headphones,South,7,120,0.1,840,84.0,756.0,2026-03
2026-03-12,Keyboard,North,8,80,0.0,640,0.0,640.0,2026-03
2026-03-17,Mouse,West,12,45,0.05,540,27.0,513.0,2026-03
2026-03-21,Laptop,West,2,900,0.05,1800,90.0,1710.0,2026-03
2026-03-24,Headphones,East,8,120,0.0,960,0.0,960.0,2026-03
2026-03-27,Keyboard,South,7,80,0.1,560,56.0,504.0,2026-03
2026-03-30,Mouse,East,9,45,0.0,405,0.0,405.0,2026-03
