date,product,region,units_sold,unit_price,discount
2026-01-05,Laptop,North,2,900,0.05
2026-01-08,Headphones,South,5,120,0.10
2026-01-12,Keyboard,East,4,80,0
2026-01-15,Mouse,West,7,45,0.05
2026-01-20,Laptop,South,1,900,0
2026-01-25,Headphones,North,6,120,0.05
2026-02-02,Keyboard,West,5,80,0.10
2026-02-07,Mouse,East,10,45,0
2026-02-11,Laptop,North,3,900,0.10
2026-02-16,Headphones,West,4,120,0
2026-02-22,Keyboard,South,6,80,0.05
2026-02-27,Mouse,North,8,45,0.10
2026-03-03,Laptop,East,2,900,0
2026-03-08,Headphones,South,7,120,0.10
2026-03-12,Keyboard,North,8,80,0
2026-03-17,Mouse,West,12,45,0.05
2026-03-21,Laptop,West,2,900,0.05
2026-03-24,Headphones,East,8,120,0
2026-03-27,Keyboard,South,7,80,0.10
2026-03-30,Mouse,East,9,45,0
